Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code
H14663,2013,1.0,0,N,V,V,U,290,1,1960.0,   .,1053
H2037,2015,1.0,0,V,N,O,R,490,1,1850.0,4,1053
H3802,2014,1.0,0,N,V,V,U,595,1,1960.0,   .,1053
H3834,2013,1.0,0,V,V,V,U,2840,1,1960.0,   .,1053
H5053,2014,1.0,0,V,N,O,R,680,1,1800.0,3,1053
H4977,2012,1.0,0,V,N,O,R,535,1,1980.0,3,1143
H7390,2012,1.0,0,N,V,V,U,2830,1,1988.0,   .,1143
H14488,2015,1.0,0,N,V,V,U,4952,1,1988.0,   .,1160
H19355,2014,1.0,0,V,N,O,R,2735,1,2013.0,3,1173
H18601,2015,1.0,0,V,N,O,R,520,1,2011.0,2,1224
H18177,2013,0.24109589,0,V,N,O,R,550,1,1960.0,3,1283
H356,2013,1.0,0,V,V,V,U,910,1,1960.0,   .,1283
H15676,2013,1.0,0,V,N,O,R,842,1,1550.0,4,1305
H19442,2014,0.843835616,0,V,N,O,R,300,1,1900.0,2,1305
H14635,2012,1.0,0,N,V,V,U,560,1,1960.0,   .,1363
H13053,2012,1.0,0,V,N,O,R,3326,1,2007.0,4,1419
H14330,2014,1.0,0,N,V,V,U,3990,1,1988.0,   .,1419
H14331,2015,1.0,0,N,V,V,U,3990,1,1988.0,   .,1419
H19461,2015,1.0,0,V,N,O,R,2444,1,1970.0,5,2059
H19462,2016,1.0,0,V,N,O,R,2444,1,1970.0,5,2059
H17764,2016,0.956284153,0,V,N,O,R,1626,1,1950.0,2,2173
H16563,2016,0.99726776,0,V,N,O,R,2400,1,1700.0,3,2408
H2103,2012,1.0,0,V,N,O,R,250,1,1900.0,4,2408
H4421,2012,1.0,1,V,N,O,R,2300,1,1970.0,4,2722
H4438,2016,0.99726776,0,N,V,V,U,600,1,1980.0,   .,3095
H15578,2012,1.0,0,V,N,O,R,5439,1,1976.0,>=10,3190
H15579,2014,1.0,0,V,N,O,R,5439,1,1976.0,>=10,3190
H7015,2014,1.0,0,V,N,O,R,1100,1,1900.0,4,3190
H16003,2016,1.0,0,V,N,O,R,1200,1,1940.0,5,3310
H18009,2012,1.0,0,V,N,O,R,552,1,1950.0,5,3310
H19316,2014,1.0,0,V,N,O,R,900,1,1920.0,5,3310
H12704,2013,1.0,0,V,N,O,R,370,2,1982.0,3,4070
H16016,2016,1.0,0,V,N,O,R,1400,2,1960.0,3,4070
H13026,2016,0.99726776,1,N,V,V,U,1000,2,1960.0,   .,4073
H16387,2012,1.0,0,V,N,O,R,480,2,1800.0,4,4088
H13678,2014,0.084931507,0,V,N,O,R,1300,2,1970.0,3,4094
H3587,2014,1.0,0,V,N,O,R,2900,2,1980.0,4,4094
H14189,2014,1.0,0,N,V,V,U,1300,2,1988.0,   .,4112
H14499,2013,1.0,0,N,V,V,U,1300,2,1988.0,   .,4112
H14500,2015,1.0,0,N,V,V,U,1300,2,1988.0,   .,4112
H4286,2012,1.0,0,N,V,V,U,1592,2,1980.0,   .,4126
H4287,2013,1.0,0,N,V,V,U,1592,2,1980.0,   .,4126
H15998,2014,1.0,0,V,N,O,R,450,2,1980.0,4,4166
H3780,2016,1.0,0,N,V,V,U,480,2,,   .,4176
H16404,2015,1.0,1,V,N,O,R,487,2,1980.0,3,4197
H15609,2015,1.0,0,V,N,O,R,1550,1,1972.0,4,5004
H15610,2016,0.99726776,0,V,N,O,R,1550,1,1972.0,4,5004
H17251,2014,1.0,1,V,N,O,R,650,1,2010.0,2,5004
H17252,2015,1.0,1,V,N,O,R,650,1,2010.0,2,5004
H13147,2014,1.0,0,V,N,O,R,2600,1,1971.0,6,5023
H13148,2013,1.0,0,N,V,V,U,1314,1,1988.0,   .,5023
H3595,2013,1.0,0,V,V,V,U,2960,1,1988.0,   .,5023
H3596,2015,1.0,0,V,V,V,U,2960,1,1988.0,   .,5023
H3649,2015,1.0,0,V,V,V,U,1386,1,1988.0,   .,5023
H3695,2012,1.0,0,V,V,V,U,1100,1,1988.0,   .,5023
H3696,2013,1.0,0,V,V,V,U,1100,1,1988.0,   .,5023
H3792,2014,1.0,0,V,N,O,R,680,1,1995.0,3,5023
H3850,2015,0.857534247,0,V,V,V,U,3325,1,1988.0,   .,5023
H4018,2013,1.0,0,V,V,V,U,1254,1,1960.0,   .,5023
H4101,2012,1.0,0,V,V,V,U,1000,1,1988.0,   .,5023
H4651,2015,1.0,0,V,V,V,U,1842,1,1988.0,   .,5023
H3481,2015,0.295890411,0,V,V,V,U,300,1,1980.0,   .,5026
H6729,2013,1.0,0,V,V,V,U,1113,1,1988.0,   .,5026
H17837,2013,1.0,0,V,N,O,R,310,1,1900.0,3,5052
H4081,2016,0.99726776,0,N,V,V,U,736,1,1960.0,   .,5052
H12871,2013,1.0,0,V,N,O,R,2050,1,2007.0,5,5061
H12872,2014,1.0,0,V,N,O,R,2050,1,2007.0,5,5061
H18579,2013,1.0,1,V,N,O,R,1262,1,2006.0,3,5061
H2417,2012,1.0,0,V,V,V,U,470,1,1960.0,   .,5061
H2586,2014,1.0,0,V,V,V,U,2400,1,1980.0,   .,5061
H2695,2012,1.0,0,V,N,O,R,6510,1,1988.0,7,5061
H5910,2014,1.0,0,V,V,V,U,320,1,1960.0,   .,5061
H6242,2012,1.0,0,V,N,O,R,425,1,1980.0,3,5061
H3500,2012,1.0,0,V,V,V,U,1500,1,1988.0,   .,5065
H3579,2013,1.0,0,V,V,V,U,900,1,1988.0,   .,5077
H6838,2012,1.0,0,N,V,V,U,600,1,1988.0,   .,5077
H13522,2016,0.99726776,0,N,V,V,U,2000,1,1988.0,   .,5085
H13523,2012,1.0,0,N,V,V,U,1000,1,1988.0,   .,5085
