Insured_Period,Building Dimension,Building_Type,Customer Id,Building_Painted,Building_Fenced,Garden,NumberOfWindows,Geo_Code,Settlement,Claim
1.0,290.0,1,H14663,N,V,V,   .,1053,U,0
1.0,490.0,1,H2037,V,N,O,4,1053,R,0
1.0,595.0,1,H3802,N,V,V,   .,1053,U,0
1.0,2840.0,1,H3834,V,V,V,   .,1053,U,0
1.0,680.0,1,H5053,V,N,O,3,1053,R,0
1.0,535.0,1,H4977,V,N,O,3,1143,R,0
1.0,2830.0,1,H7390,N,V,V,   .,1143,U,0
1.0,4952.0,1,H14488,N,V,V,   .,1160,U,0
1.0,2735.0,1,H19355,V,N,O,3,1173,R,1
1.0,520.0,1,H18601,V,N,O,2,1224,R,0
0.24109589,550.0,1,H18177,V,N,O,3,1283,R,0
1.0,910.0,1,H356,V,V,V,   .,1283,U,0
1.0,842.0,1,H15676,V,N,O,4,1305,R,0
0.843835616,300.0,1,H19442,V,N,O,2,1305,R,0
1.0,560.0,1,H14635,N,V,V,   .,1363,U,0
1.0,3326.0,1,H13053,V,N,O,4,1419,R,1
1.0,3990.0,1,H14330,N,V,V,   .,1419,U,1
1.0,3990.0,1,H14331,N,V,V,   .,1419,U,0
1.0,2444.0,1,H19461,V,N,O,5,2059,R,0
1.0,2444.0,1,H19462,V,N,O,5,2059,R,0
0.956284153,1626.0,1,H17764,V,N,O,2,2173,R,0
0.99726776,2400.0,1,H16563,V,N,O,3,2408,R,0
1.0,250.0,1,H2103,V,N,O,4,2408,R,0
1.0,2300.0,1,H4421,V,N,O,4,2722,R,1
0.99726776,600.0,1,H4438,N,V,V,   .,3095,U,0
1.0,5439.0,1,H15578,V,N,O,>=10,3190,R,0
1.0,5439.0,1,H15579,V,N,O,>=10,3190,R,1
1.0,1100.0,1,H7015,V,N,O,4,3190,R,0
1.0,1200.0,1,H16003,V,N,O,5,3310,R,0
1.0,552.0,1,H18009,V,N,O,5,3310,R,0
1.0,900.0,1,H19316,V,N,O,5,3310,R,0
1.0,370.0,2,H12704,V,N,O,3,4070,R,1
1.0,1400.0,2,H16016,V,N,O,3,4070,R,0
0.99726776,1000.0,2,H13026,N,V,V,   .,4073,U,0
1.0,480.0,2,H16387,V,N,O,4,4088,R,0
0.084931507,1300.0,2,H13678,V,N,O,3,4094,R,0
1.0,2900.0,2,H3587,V,N,O,4,4094,R,1
1.0,1300.0,2,H14189,N,V,V,   .,4112,U,0
